paper_idx,para_idx,abstract
0,0,"We present the pressure evolution of charge density wave (CDW) order and the onset of superconductivity (SC) in 1T-VSe2 single crystals, determined from resistance and magnetoresistance measurements under high quasihydrostatic pressure. With increasing pressure the CDW is initially strengthened: the CDW ordering temperature (∼100 K at ambient pressure) rises only slightly up to 5 GPa. Above 5 GPa the CDW-like resistive anomaly shifts rapidly to higher temperature, reaching a characteristic temperature of ∼290 K at 14.2 GPa. Upon further compression the CDW-related resistance anomaly is suppressed abruptly while the sample becomes markedly more metallic (as evidenced by an increased RRR), and superconductivity appears near ∼15 GPa with an onset critical temperature Tc of ∼4 K. The pressure dependence of Tc is negligible, in contrast to the increasing or dome-shaped Tc(P) reported for isostructural layered diselenide superconductors. High-pressure magnetoresistance and Hall measurements indicate successive modifications of the electronic structure with Fermi surface changes occurring at ~5 GPa and ∼12 GPa."
0,1,"We present the pressure evolution of charge density wave (CDW) order and the onset of superconductivity (SC) in a 1T-VSe2 single crystal, inferred from resistance and magnetoresistance measurements under high quasihydrostatic pressure. As pressure is raised the CDW is initially strengthened: its ordering temperature (∼100 K at ambient P) shows only a slight increase up to 5 GPa. Beyond this, the CDW-related resistance anomaly grows more rapidly, the characteristic temperature climbing to ∼290 K by 14.2 GPa. With further compression the CDW-associated resistance feature is then strongly suppressed while the sample becomes significantly more metallic (as evidenced by an increased RRR), and superconductivity appears near ∼15 GPa with an onset critical temperature Tc of ∼4 K. The pressure dependence of Tc is essentially negligible, in contrast to the monotonic rise or dome-shaped Tc(P) reported for isostructural layered diselenide superconductors. High-pressure magnetoresistance and Hall data indicate successive electronic-structure changes, consistent with Fermi-surface reconstructions occurring at 5 and ∼12 GPa."
0,2,"We report the pressure evolution of charge density wave (CDW) order and the emergence of superconductivity (SC) in 1T-VSe2 single crystal by studying resistance and magnetoresistance behavior under high pressure. Under increasing quasihydrostatic pressure the CDW becomes stronger, with its ordering temperature (∼100K at ambient P) rising only slightly up to 5 GPa. At still higher pressures the CDW-like resistance anomaly grows more rapidly, the characteristic temperature reaching ∼290K at 14.2 GPa. On further pressurization the CDW-related resistance anomaly is then strongly suppressed while the material becomes markedly more metallic (as evidenced by an increased RRR), and superconductivity appears at ∼15 GPa with an onset critical temperature Tc ≈ ∼4 K. The Tc shows negligible pressure dependence, in contrast to the increasing or dome-shaped Tc(P) observed in isostructural layered diselenide superconductors. High-pressure magnetoresistance and Hall data point to successive electronic-structure changes, with Fermi-surface modifications occurring at 5 and ∼12 GPa."
0,3,"We report the pressure evolution of charge density wave (CDW) order and the emergence of superconductivity (SC) in 1T-VSe2 single crystal through measurements of resistance and magnetoresistance under high pressure. With increasing quasihydrostatic pressure the CDW order is strengthened, the ordering temperature (∼100 K at ambient P) rising only slightly up to 5 GPa. Above 5 GPa the CDW-like resistive anomaly shifts more rapidly to higher temperature, reaching a characteristic temperature of ∼290 K at 14.2 GPa. Upon further compression the CDW-related resistance anomaly is then strongly suppressed while metallicity increases sharply (as clearly evidenced by an increased RRR), and superconductivity appears at ∼15 GPa with an onset critical temperature Tc ≈ 4 K. The pressure dependence of Tc is negligible, in contrast to the monotonic increase or dome-shaped behavior observed in isostructural layered diselenide superconductors. High-pressure magnetoresistance and Hall measurements indicate successive electronic-structure changes, with Fermi-surface modifications occurring at 5 and ∼12 GPa."
0,4,"By measuring resistance and magnetoresistance under high pressure, we examine the pressure-driven evolution of charge density wave (CDW) order and the onset of superconductivity (SC) in 1T-VSe2 single crystals. Under increasing quasihydrostatic pressure the CDW order is strengthened, with its ordering temperature (≈100 K at ambient pressure) rising only slightly up to 5 GPa. Above this pressure the CDW-like resistance anomaly grows more rapidly, its characteristic temperature reaching ≈290 K at 14.2 GPa. With further pressure increase the resistance anomaly associated with CDW order is then drastically suppressed while metallicity increases sharply (as evidenced by an increased RRR), and superconductivity appears near 15 GPa with an onset critical temperature Tc ≈ 4 K. The pressure dependence of Tc is negligible, in contrast to the increasing or dome-shaped behavior seen in isostructural layered diselenide superconductors. High-pressure magnetoresistance and Hall measurements indicate successive electronic-structure changes, with Fermi-surface modifications at 5 and ≈12 GPa."
1,0,"We report the demonstration of rapid, first-order sideband transitions between a superconducting resonator and a frequency-modulated transmon qubit. The transmon features a substantial asymmetry between its Josephson junctions, producing a linear portion of the energy band in the vicinity of the resonator frequency. The sideband transitions are driven by a magnetic flux signal of a few hundred MHz applied to the qubit. This flux modulation varies the qubit splitting at a frequency tuned near the detuning between the dressed qubit and resonator frequencies, yielding rates up to 85 MHz for exchanging quanta between the qubit and resonator."
1,1,"We demonstrate rapid, first-order sideband transitions between a superconducting resonator and a frequency-modulated transmon qubit. The transmon is engineered with a substantial asymmetry between its Josephson junctions, producing a linear portion of the energy band in the vicinity of the resonator frequency. Sideband driving is accomplished by applying a magnetic flux signal of a few hundred MHz to the qubit, which modulates the qubit splitting at a frequency close to the detuning between the dressed qubit and resonator frequencies. This protocol yields exchange rates up to 85 MHz for transferring quanta between the qubit and the resonator."
1,2,"We demonstrate rapid, first-order sideband transitions between a superconducting resonator and a frequency-modulated transmon qubit. The qubit is engineered with a pronounced asymmetry between its Josephson junctions, producing a linear portion of the energy band in the vicinity of the resonator frequency. The sideband transitions are induced by a magnetic flux signal of a few hundred MHz coupled to the qubit, which modulates the qubit splitting at a frequency close to the detuning between the dressed qubit and resonator frequencies and yields exchange rates up to 85 MHz for transferring quanta between the qubit and resonator."
1,3,"We demonstrate rapid, first-order sideband transitions between a superconducting resonator and a frequency-modulated transmon qubit. A substantial asymmetry between the qubit's Josephson junctions produces a linear portion of the energy band situated near the resonator frequency. The sideband transitions are driven by a magnetic flux signal of a few hundred MHz coupled to the qubit. That flux modulation varies the qubit splitting at a frequency close to the detuning between the dressed qubit and resonator frequencies, yielding exchange rates up to 85 MHz for transferring quanta between the qubit and resonator."
1,4,"We demonstrate rapid, first-order sideband transitions between a superconducting resonator and a frequency-modulated transmon qubit. The transmon exhibits a substantial asymmetry between its Josephson junctions, producing a linear section of the energy band near the resonator frequency. Sideband transitions are driven by a magnetic flux signal of a few hundred megahertz coupled to the qubit, which modulates the qubit splitting at a frequency close to the detuning between the dressed qubit and resonator frequencies. This produces exchange rates up to 85 MHz for transferring quanta between the qubit and resonator."
